severity,urgency,volume,confidence_score,opportunity_score,article_age,vulnerability_type,strategy,channel,content_type
67.48357076505616,87.66262297045675,50.0,0.8389388559063052,66.06845496106565,63.203793290181565,Layoffs,PROMOTIONAL_OFFER,CONTENT_MARKETING,COMPARISON_GUIDE
66.59451092344692,98.31833757415444,100.0,0.9763370252405913,87.66817509993092,8.140622011901048,Layoffs,PRODUCT_AWARENESS,CONTENT_MARKETING,COMPARISON_GUIDE
77.65262807032524,98.01321211790271,50.0,0.8934048034868771,74.32225453199263,9.632591459983841,Price Increase,PROMOTIONAL_OFFER,SOCIAL_ONLY,SOCIAL_CAMPAIGN
60.37958581126448,92.8306998935104,100.0,0.7120065733989573,80.87646923407696,35.70853588132101,Layoffs,PRODUCT_AWARENESS,CONTENT_MARKETING,CASE_STUDY
89.93584439832789,96.60385379567231,50.0,0.8751397866076219,78.54880629461803,16.58474457611531,System Outage,COMPETITOR_SWITCHING,LINKEDIN_EMAIL,COMPARISON_GUIDE
79.30189671961881,85.74489792723116,50.0,0.8554022563750339,69.59473169358996,73.82092852948378,Data Breach,COMPETITOR_SWITCHING,SOCIAL_ONLY,SOCIAL_CAMPAIGN
87.27808637737408,91.07076884745916,50.0,0.8588738071767893,76.03195750497555,44.89598499118129,Data Breach,COMPETITOR_SWITCHING,LINKEDIN_EMAIL,COMPARISON_GUIDE
79.73719910523319,98.97749039036245,50.0,0.8018634710216482,80.29268312821988,4.933311120120299,PR Crisis,PRODUCT_AWARENESS,CONTENT_MARKETING,CASE_STUDY
89.93251387631032,99.65067435226096,100.0,0.765383125683528,95.4093069485385,1.679698629286996,Data Breach,COMPETITOR_SWITCHING,SOCIAL_ONLY,COMPARISON_GUIDE
96.94674456628061,89.70662342942009,50.0,0.8667090876003805,76.77134460757873,52.140278331119056,System Outage,COMPETITOR_SWITCHING,LINKEDIN_EMAIL,COMPARISON_GUIDE
83.35906975550785,70.51951448450339,50.0,0.8657488988695299,69.93675887966188,167.65474237133887,Data Breach,COMPETITOR_SWITCHING,LINKEDIN_EMAIL,COMPARISON_GUIDE
69.40880519474305,77.49602525882307,100.0,0.8407481374089407,80.41012226436555,122.37289820493145,Layoffs,RETENTION_DEFENSE,CONTENT_MARKETING,CASE_STUDY
67.60739004816287,83.82358396559923,75.0,0.7924124633284233,71.99667501422222,84.69877753156483,PR Crisis,PRODUCT_AWARENESS,CONTENT_MARKETING,CASE_STUDY
